Molecule Name,Smiles,Euclidean Distance,Permeability Value,Diameter
L-Histidine,N[C@@H](CC1=CN=CN1)C(=O)O,3.4004722,3.321126476,8.23
Glycerophosphocholine,C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](O)CO,3.4309323,4.795768857,13.12
L-Isoleucine,CC[C@H](C)[C@H](N)C(=O)O,3.4320834,8.53343457,7.43
Uridine 5'-monophosphate,O=C1C=CN([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)C(=O)N1,3.4397273,1.392108109,11.96
(-)-alpha-Pinene,CC1=CC[C@H]2C[C@@H]1C2(C)C,3.4515197,23.19765538,6.78
Prostaglandin E2,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,3.451837,7.561963797,17.86
Pro-Ile,CC[C@H](C)[C@H](N=C(O)[C@@H]1CCCN1)C(=O)O,3.4780676,7.221514732,10.08
Deoxyadenosine,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1,3.5013404,3.227988631,10.46
Inosinic acid,O=C1NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,3.502296,0.730835134,12.75
"beta-D-Fructofuranosyl-(2,1)-beta-D-Fructofuranose",OC[C@H]1O[C@](CO)(OC[C@@]2(O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,3.5464122,0.377613725,12.81
Ribothymidine,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,3.5492592,3.413408995,8.58
Glutaminylphenylalanine,N=C(O)CC[C@H](N)C(O)=N[C@@H](CC1=CC=CC=C1)C(=O)O,3.558299,0.443187077,13.71
Vitamin C,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,3.5625074,2.130692638,6.48
